TimeStep,1-SLWK,2-BISH,3-PRES,4-LEAS,5-MIDD,6-USHAT,7-WEDMRI,8-TANFRI,9-RTYN,10-LOWTRI,11-LOWTROT,12-LOWTROL,13-LAMERI,14-PLANVI,15-BLAYRI
0,0,0,0,7.7,9.7,7.4,5.5,9.03,0,0.4397,0,0,27.43,12.07,0.1226
1,0,0,0,8.5,9.7,8.7,7.2,9.64,0,0.3686,0,0,22.41,11.63,0.03671
2,0,0,0,9.1,9.7,9.6,8.4,10.16,0,0.3168,0,0,18.49,11.3,0.01099
3,0,0,0,9.4,9.7,10.1,9.09,10.36,0,0.291,0,0,16.45,11.13,0.003293
4,0,0,0,9,9.8,9.5,8.4,10.08,0,0.3233,0,0,18.86,11.32,0.0009865
5,0,0,0,8.9,9.6,9.3,8,10.39,0,0.3362,0,0,19.88,11.41,0.000296
6,0,0,0,8.1,9.7,7.9,6.1,9.87,0,0.4138,0,0,25.42,11.88,0.00008916
7,0,0,0,5.6,10.2,3.7,1.2,6.9,0,0.666,0,0,38.39,13.35,6.841
8,0,0,0,3.2,9.7,0.5,-1.6,5.7,0,0.8303,0,0,46.33,14.28,12.27
9,0,0,0,3.3,9.7,0.7,-1.5,5.3,0,0.8212,0,0,46.16,14.26,12.12
10,0,0,0,4.1,9.7,2,-0.1,5.8,0,0.7475,0,0,42.72,13.87,9.794
11,0,0,0,4.5,9.7,2.5,0.4,6.6,0,0.7164,0,0,41.17,13.69,8.733
12,0,0,0,4.7,9.7,2.8,0.8,6.8,0,0.6983,0,0,40.29,13.59,8.118
13,0,0,0,4.6,9.7,2.8,0.6,6.8,0,0.7048,0,0,40.56,13.62,8.318
14,0,0,0,4.5,9.7,2.6,0.5,7.1,0,0.7113,0,0,40.87,13.65,8.533
15,0,0,0,4.1,9.7,2,-0.1,6.9,0,0.7436,0,0,42.37,13.83,9.592
16,0,0,0,3.6,9.8,1.2,-1,5.9,0,0.7953,0,0,44.8,14.11,11.28
17,0,0,0,2.6,9.8,-0.4,-2.7,5.2,0,0.8859,0,0,49.11,14.6,14.05
18,0,0,0,2.1,9.8,-1.3,-3.5,4.8,0,0.9311,0,0,51.37,14.86,15.46
19,0,0,0,2.7,9.7,-0.3,-2.5,5.2,0,0.8729,0,0,48.71,14.56,13.78
20,0,0,0,2.9,9.8,0,-2.1,5.4,0,0.8535,0,0,47.7,14.45,13.17
21,0,0,0,3.4,9.7,0.7,-1.4,5.7,0,0.8147,0,0,45.84,14.24,11.98
22,0,0,0,4.4,9.8,2.4,0.4,5.6,0,0.7242,0,0,41.59,13.75,9.051
23,0,0,0,6.7,9.6,5.9,4.1,8.2,0,0.5173,0,0,31.8,12.57,2.054
