id,max_p_mw,type,costs,epsilon,phi,economic_life,emissions
0,7.5,GT,66.8,440000,0.0248,25,0.548
1,7.5,biomass,14,3446000,0.0348,25,0.0892
2,0.1,wind,0,1017000,0.0251,25,0
3,0.45,GT,66.8,440000,0.0248,25,0.548
4,50,GT,66.8,440000,0.0248,25,0.548
5,7.5,CHP,69,910000,0.0274,15,0.1839
6,1.76,solar,0,457000,0.0123,35,0
7,2.36,solar,0,457000,0.0123,35,0
8,7.5,wind,0,1017000,0.0251,25,0
9,3,GT,66.8,440000,0.0248,25,0.548
10,2.3,biomass,14,3446000,0.0348,25,0.0892
11,3,biomass,14,3446000,0.0348,25,0.0892
12,3,biomass,14,3446000,0.0348,25,0.0892
13,2.5,CHP,69,910000,0.0274,15,0.1839
14,4,CHP,69,910000,0.0274,15,0.1839
15,2000,GT,45.8,617000,0.0253,25,0.339
16,400,GT,45.8,617000,0.0253,25,0.339
17,3.45,biomass,14,3446000,0.0348,25,0.0892
18,50,GT,66.8,440000,0.0248,25,0.548
19,40,GT,66.8,440000,0.0248,25,0.548
20,30,wind,0,1017000,0.0251,25,0
21,100,GT,45.8,617000,0.0253,25,0.339
22,4,solar,0,457000,0.0123,35,0
23,7,CHP,69,910000,0.0274,15,0.1839
24,15,wind,0,1017000,0.0251,25,0
25,26,P2G,11.07,465000,0.1043,30,0
26,119,CHP,69,910000,0.0274,15,0.1839
27,2,EZ,11.07,465000,0.1043,30,0
28,2,FC,11.07,465000,0.1043,30,0
29,100,meth,45.8,617000,0.0253,25,0.339
